time,signal
1758,141.15
1759,141.549
1760,115.842
1761,103.39
1762,124.967
1763,105.682
1764,113.879
1765,111.481
1766,113.174
1767,112.2
1768,113.819
1769,126.166
1770,132.699
1771,114.763
1772,103.415
1773,105.619
1774,113.519
1775,111.517
1776,106.806
1777,103.969
1778,92.3016
1779,124.787
1780,128.743
1781,135.89
1782,123.573
1783,139.486
1784,128.968
1785,125.776
1786,113.747
1787,133.658
1788,113.579
1789,94.348
1790,140.45
1791,140.52
1792,115.707
1793,106.986
1794,156.478
1795,155.834
1796,157.512
1797,136.798
1798,117.295
1799,108.142
1800,120.517
1801,142.318
1802,129.012
1803,113.125
1804,96.5571
1805,111.601
1806,117.199
1807,138.057
1808,140.071
1809,136.295
1810,134.047
1811,108.754
1812,100.413
1813,138.497
1814,134.928
1815,118.359
1816,110.618
1817,140.682
1818,113.536
1819,132.015
1820,140.85
1821,119.716
1822,154.096
1823,147.922
1824,133.418
1825,112.26
1826,122.569
1827,131.08
1828,116.786
1829,154.455
1830,133.478
1831,109.503
1832,136.205
1833,139.411
1834,138.596
1835,139.951
1836,136.325
1837,127.304
1838,123.636
1839,131.125
1840,129.965
1841,122.449
1842,122.845
1843,121.52
1844,120.831
1845,128.239
1846,125.776
1847,114.785
1848,149.96
1849,133.623
1850,141.037
1851,114.923
1852,137.261
1853,136.079
1854,127.053
1855,133.508
1856,118.314
1857,132.878
1858,116.83
1859,107.346
1860,109.743
1861,107.93
1862,106.147
1863,98.5649
1864,90.2278
1865,130.316
1866,128.743
1867,130.121
1868,131.47
1869,123.109
1870,105.008
1871,107.435
1872,100.041
1873,101.489
1874,99.3981
1875,149.68
1876,147.802
1877,148.821
1878,134.362
1879,132.77
1880,111.301
1881,142.168
1882,138.048
1883,123.564
1884,103.689
1885,99.6138
1886,85.8765
1887,84.6298
1888,85.9034
1889,86.0683
1890,119.842
1891,127.214
1892,138.093
1893,140.191
1894,132.339
1895,133.658
1896,132.549
1897,122.27
1898,131.575
1899,122.569
1900,131.08
1901,122.869
1902,118.973
1903,108.739
1904,90.6748
1905,93.1407
1906,138.632
1907,128.203
1908,123.888
1909,126.72
1910,115.822
1911,102.401
1912,99.5239
1913,134.047
1914,115.617
1915,103.345
1916,102.176
1917,108.155
1918,119.141
1919,127.424
1920,154.216
1921,130.037
1922,126.585
1923,134.557
1924,122.33
1925,124.212
1926,124.832
1927,128.863
1928,115.572
1929,139.127
1930,128.473
1931,143.622
1932,138.587
1933,102.131
1934,104.648
1935,106.177
1936,103.33
1937,102.922
1938,143.559
1939,143.937
1940,113.495
1941,147.713
1942,146.664
1943,129.502
1944,128.024
1945,130.031
1946,127.664
1947,128.347
1948,136.706
1949,113.675
1950,106.164
1951,119.603
1952,131.71
1953,130.001
1954,118.242
1955,130.541
1956,128.563
1957,136.355
1958,132.609
1959,116.516
1960,103.677
1961,105.393
1962,132.069
1963,135.576
1964,131.552
1965,139.018
1966,145.345
1967,142.768
1968,128.563
1969,130.001
1970,128.833
1971,121.658
1972,129.732
1973,112.2
1974,151.83
1975,144.146
1976,140.85
1977,136.475
1978,125.371
1979,115.81
1980,108.604
1981,101.34
1982,107.166
1983,104.469
1984,101.727
1985,130.841
1986,121.191
1987,119.033
1988,120.786
1989,108.964
1990,93.9627
1991,95.1786
1992,100.992
1993,110.852
1994,155.669
1995,138.153
1996,131.76
1997,105.847
1998,91.4505
1999,121.491
2000,124.535
